,ユーザー名,ユーザーid,RT数,いいね数,日時,本文
21,ずずず,HiraAcek,0,11,2020-12-29-03:48:49,「PythonではじめるKaggleスタートブック」2.5〜2.7章分からない言葉ばかりだけど、理解できるようになりたいなーモチベーション上がったところで、前から検討していた、かめさん（@usdatascientist ）のUdemy講座を購入！がんばります！#今日の積み上げ #Python #kaggle
22,NoelRecords_App,NoelRecords_App,1,6,2020-12-29-03:35:59,Pythonを使ってWebスクレイピングで取得したデータをCSVファイルに書き出す方法を徹底解説しました！！初心者にもわかりやすいように解説しています！https://t.co/bwoMeNit4c#Python #プログラミング #プログラミング講座 https://t.co/c2aLidoo2k
23,ゆきや@創薬エンジニア,yukiya285,0,26,2020-12-29-03:35:00,#Python のオブジェクト指向の理解への第一歩！#プログラミング初心者 #駆け出しエンジニアと繋がりたいhttps://t.co/dbkJAuK9X8
24,いつおん@YouTube動画1日5本ぐらい投稿,itsuon120n,1,3,2020-12-29-03:29:05,いつおんチャンネルで新しい動画を公開しました。【Automatic Composition】初太-Hatta-V3_No．734【アルゴリズム作曲】 https://t.co/cDJw8cazMY#音楽 #Python #自動作曲 #プログラミング #Youtube
25,あたらし帳,atarashicho,0,1,2020-12-29-03:18:10,#Python 関連の最新注目書籍#情報学・情報科学 部門売上ランキング 2位！『ゼロから作るDeep Learning ❷ ―自然言語処理編』https://t.co/4UJ77c7iK4
26,ゆーさん 👉 ITの達人へ,Arc_to_Future,3,12,2020-12-29-03:15:22,#今日の積み上げ   コロナ感染拡大している中、極力外出しないようにしているけど、週1食料品などを買いだしている。今年のお正月は帰省されない方が多いため、品薄になりそうなので、今日は多めに買おうかな😊✅機械学習・Python学習#機械学習 #Python #プログラミング初心者と繋がりたい
27,本を読もう,bookloveru2,0,1,2020-12-29-03:13:53,https://t.co/3NmTKy4259 前処理大全【データ分析のためのSQL/R/Python実践テクニック】:前処理」を効率よくこなすことで，予測モデルの構築やデータモデリングといった本来のデータサイエンス業務に時間を割くことができる。#python
28,Panda@プログラミング演習,Pract1328,0,1,2020-12-29-03:13:04,Pythonを楽しくクイズで学んでみませんか?数分でできるクイズなので是非チャレンジしてください！https://t.co/EQSecbL18a#Python #プログラミング
29,けいじ@Numpy,chqBYIOmA0SYl1F,3,20,2020-12-29-03:05:05,"中休みで #numpy    問：    配列[1,2,0,0,4,0] から非ゼロの要素で別の配列を生成せよ。    解：    添付の通り。    #Python    #プログラミング    #今日の積み上げ    #駆け出しエンジニアと繋がりたい https://t.co/VeMUGvqFo0"
30,Python研究室,Python55455260,0,18,2020-12-29-03:00:11,#駆け出しエンジニアと繋がりたい  #プログラミング #python  #プログラミング初心者  #プログラミング学習【Python】pandasで年齢データを各年齢層ごとに集計(groupby)するhttps://t.co/VFkm2sjJIa
31,Saty|創ることを楽しむ企画の探求者,satycom_jp,1,36,2020-12-29-02:55:43,前半の振り返り💠AWS:Rekognition動作確認cloudwatchログからエラーないか確認しながら作成していきました😁コマンドでは起動してるけど反映されない時に使うとエラー表示されてるので便利です✨#Python  #NoCode #今日の積み上げ#駆け出しエンジニアと繋がりたい #プログラミング初心者 https://t.co/3HHThAQQIj
32,U&I iryuSale LINEbot販売,iryu_sale,0,4,2020-12-29-02:34:58,LINEの半bot、保護botのソースやPythonista3の使い方ソースの書き方やlinepyライブラリを販売しております！詳しくは固定ツイートのLINE非公式アカウントまでお越し下さい#Python#LINEbot#Pythonista#Pythonソース#Pythonista使い方#保護bot#半bot#linebot#Pythonソース#プログラミング
33,ピコピコくん@NZのプログラマ🇳🇿,piko_piko_kun,1,0,2020-12-29-02:24:10,機械学習やデータサイエンスを学ぶための環境『Anaconda 』をWindowsにインストールする方法  https://t.co/B3PF0nfdp0 #はてなBLOG #Python #Anaconda
34,ミウラ🌈現役SEの日常✖️学び✖️おうちごはん発信中🌈,miumiu06171,0,6,2020-12-29-02:21:04,朝起きてブログのユーザ数が40人くらい増えててビックリ❗️素人なので1日で40人は過去最高でめちゃ嬉しいー😽調べてみると深夜2時〜3時に全て【台湾】の方でした🤗✨台湾で #Python 勉強する人増えてるのかな⁉️コツコツ知識つけながら引続きブログも書いていきます😊#ブログ #駆け出しエンジニア https://t.co/f7IFQCsuGz
35,横山@フリーweb系エンジニア,creamdango1,0,10,2020-12-29-02:08:00,おはようございます☀#今日の積み上げ・DjangoでのWebサービス作成学習・就活Djangoの勉強に使っているは、この人の動画です。めっちゃわかりやすくて感謝です！#Python#Djangohttps://t.co/jjalaIFjUq
36,オジサンテクノロジー,OjiTec,0,3,2020-12-29-02:05:05,なるべく簡単に、Djangoの始め方をまとめています。興味のある方はご覧ください。https://t.co/NxHMtMNrKy#プログラミング #Django #Python
37,Udemy(ユーデミー)クーポン,UdemyCouponsNet,1,1,2020-12-29-01:28:32,【ゼロから始める入門講座】やってみよ！python！https://t.co/X608HexEoC#udemy #クーポン #python
38,脱力,prog_sec,0,2,2020-12-29-01:22:40,その前に、tkinterのウィジットのクラス化を勉強したい。一つ、いい参考記事を見つけたが、わけがわからんところがあって、萎えた。ちょっと、お休みするか.....#Python
39,株式会社リーディング・エッジ社 採用担当,LeadingEdge_HR,0,2,2020-12-29-01:13:22,《 #Python 》通信キャリア向けWEBアプリケーション開発雇用形態:正社員、派遣社員勤務地: #東京 #大阪福利厚生: 交通費支給/各種社会保険完備/資格手当/報奨金給与: 経験・能力を考慮して決定#求人 #案件 #エンジニアと繋がりたい
40,repunit-habits,RepunitH,0,6,2020-12-29-01:07:50,【PGチャレンジday7】最後の演習問題が、結局腹落ちしないまま終了。標準入力がどうも理解できないんだけど、頭悪いのかな…。#paiza  #Python #プログラミング #勉強 #習慣化 https://t.co/NpG2Zoccbq
41,KYOHEI_LOG,KyoheiLog,0,17,2020-12-29-01:03:18,本日も作業します😌#今日の積み上げ・英語勉強・Pythonフリーランス120日目！実家に行かないのいけないので、今日は少しだけ作業します！#ブログ#Udemy#WEBデザイナー #webデザイン#Python
42,G検定攻略ガイド,0g1iPOHDHaYBY67,0,1,2020-12-29-00:45:36,【部数限定公開2021#1】累計200部近く売り上げている「最強の法律&amp;時事問題まとめnote」の最新版！｜ https://t.co/xywDToAj1J#G検定 #ディープラーニング #AI #人工知能 #資格 #Python2020-12-29 09:45:35.161792
43,いつおん@YouTube動画1日5本ぐらい投稿,itsuon120n,1,3,2020-12-29-00:29:10,いつおんチャンネルで新しい動画を公開しました。【Automatic Composition】初太-Hatta-V3_No．733【アルゴリズム作曲】 https://t.co/UAKuCgoDKi#音楽 #Python #自動作曲 #プログラミング #Youtube
44,rubber.eng,EngRubber,0,5,2020-12-29-00:00:39,今日はこれ読みます！『²Àfð¨©¯µÄ¢Ü·I』https://t.co/SrS6wzPMcp#駆け出しエンジニア #python
45,kazu(カズ）@コツコツ投資,KKotukotutoushi,0,3,2020-12-28-23:54:30,今日も　#python会社では1、標準ライブラリ2、外部ライブラリの順にimportするようにしてるけど、ローカルルールなのかな。今読んでる本は順番バラバラに書いてある😆 https://t.co/YvkXyE2QQe
46,本を読もう,bookloveru2,0,2,2020-12-28-23:53:53,https://t.co/fRVkax80Ot Pythonによるあたらしいデータ分析の教科書：大人気プログラミング言語python。その魅力に迫る。#python
47,Saty|創ることを楽しむ企画の探求者,satycom_jp,0,38,2020-12-28-23:03:19,#今日の積み上げおはようございます☀LINEBot→AWS→Python→AI画像分析完成✨年内最終課題終えてホッとしてます🥳今日は少数で忘年会なので終わったらノーコード調べて始めていきます😊冬のピノは激ウマ🍨#Python #AWS #Nocode#駆け出しのエンジニアと繋がりたい#おは戦21229dk #朝活
48,よしなしごと｜カップルプログラマー,yoshinashigoto_,0,16,2020-12-28-23:01:24,#おは戦おはようございます☀よしなしごとです🙆🏻🙆🏻‍♀️昨日やっと裏掲示板が完成しました🙆🏻🙆🏻‍♀️やったー🙋🏻🙋🏻‍♀️あとは公開⤴︎⤴︎🐓Herokuにデプロイでいいかな💦#今日の積み上げ大学の課題🙋🏻‍♀️ブログ記事を書きたみ🙋🏻🙋🏻‍♀️#プログラミング#ブログ#Python https://t.co/GlYZtTCig4
49,めざましじゃんけん結果速報,meza_janken,0,2,2020-12-28-22:58:41,【4戦目】めざましじゃんけん結果速報：グー✊でした。パー✋が勝ちです。今回の相手：江坂任選手 By https://t.co/I8zEg0eYWE #めざましじゃんけん #めざましテレビ #人工知能 #江坂任 #深層学習 #CNN #Python #みきいえ #機械学習 #YOLO #PHP #Darknet #RaspberryPi
50,しろ ＠蛇遣いになるネコ,_whitecat_22,0,30,2020-12-28-22:55:27,"今朝もシャワーを浴びてスッキリ！☺️コツコツと #今日の積み上げ すすめていきます1⃣ #Python/#Django 試験対策, #デイトラ 初級編DAY21～2⃣アウトプット＆アイディア出し📝時間を上手くつかって #AWS SAAも見ていかないと🤣#プログラミング初学者 #駆け出しエンジニアと繋がりたい"
51,めざましじゃんけん結果速報,meza_janken,1,3,2020-12-28-22:53:56,学習中の人工知能なので、とても低い勝率です。次回12月29日 【4戦目】のじゃんけん予想は、テレビがパー✋を出す確率が高いです。By https://t.co/Q2hShSok6m #めざましじゃんけん #めざましテレビ #人工知能 #mikiie #OpenCV #PHP #RNN #Python #深層学習 #IoT #Synology #GoogleHome #CNN
52,藤崎和希,ksendk_talk,0,15,2020-12-28-22:50:08,おはようございます。今朝もPythonの勉強。#プログラミング初心者 #Python
53,元公務員YUTA（自称継続の👹）,Yuta_Oki4Life,0,15,2020-12-28-22:44:01,おはようございます🌄#今日の積み上げ☑️Udemy #Python 講座☑️ #統計学 ベイズ推定〜統計学の分厚い本ついに最終章まできた😭長かった〜。最初からこの本は正直ハードル高かった！次回はもっとリサーチして、わかりやすい統計学の本を買いたいと思います😁でわ、今日も楽しみながら頑張ろー🔥
54,バラン@米国｜未経験・30代からのデータサイエンス,BaranGizagiza,0,4,2020-12-28-22:40:05,🖥ブログ更新「PythonでTwitterデータを分析してみた」重回帰分析編(StatusModels)を記載しました😎•サンプルコード•いいね数の予測ありです❗️アクセスや感想いただけると幸いです😊今後はStreamlit連携を扱う予定です👍#Docker#Python#統計学https://t.co/pCo3hlm0Ie
55,めざましじゃんけん結果速報,meza_janken,2,1,2020-12-28-22:35:46,【3戦目】めざましじゃんけん結果速報：パー✋でした。チョキ✌が勝ちです。今回の相手：木村拓哉さん By https://t.co/I8zEg0eYWE #めざましじゃんけん #めざましテレビ #人工知能 #木村拓哉 #機械学習 #RaspberryPi #OpenCV #CNN #じゃんけん #TensorFlow #Python #深層学習
56,のり@Python✖️3Dプリンタ使い,Nori_3PySci,1,33,2020-12-28-22:35:13,新しい記事をアップしました😆Python機械学習ライブラリScikit-learn その９：特徴量のデータ…#ブログ更新#プログラミング#Python#プログラミング初心者と繋がりたい#駆け出しプログラマーと繋がりたい#駆け出しエンジニアと繋がりたい#ブロガーさんと繋がりたいhttps://t.co/Gh5dC9Akh4
57,タルタろす,ssbu_key,0,3,2020-12-28-22:32:53,Python使ってシューティングゲーム(クソゲー)作ったよ。#Python #クソゲー#ゲーム制作 https://t.co/9rtZRVrZRN
58,めざましじゃんけん結果速報,meza_janken,1,1,2020-12-28-22:30:56,学習中の人工知能なので、とても低い勝率です。次回12月29日 【3戦目】のじゃんけん予想は、テレビがパー✋を出す確率が高いです。By https://t.co/Q2hShSok6m #めざましじゃんけん #めざましテレビ #人工知能 #CNN #Raspi #ニューラルネットワーク #PHP #Raspberry #Python #GoogleHome #RNN
59,pyてょn,__P_y_t_h_o_n__,0,2,2020-12-28-22:12:24,================================any( iterable )Pythonの組み込み関数iterableのいずれかの要素がTrueならTrueを返す。iterableが空ならFalseを返す。#Python https://t.co/beGV3hdne8
60,速報！おすすめ案件 | フリーランススタート,FreelanceStart1,0,4,2020-12-28-22:00:00,2020年12月Python求人・案件の月額単価相場情報最高単価：160万円より詳細な分析はこちらから↓https://t.co/yA8kJTTdBf#フリーランススタート #エンジニア #Python #案件相場 #案件単価 #プログラミング言語 #フリーランス #FREELANCESTART https://t.co/qakSHbivc3
61,ぱーよ@現役専業主夫inボストン,payo_kfiimm,0,8,2020-12-28-21:58:28,ゼロからのpython講座、一周済みプログラミング操っている人ってすごいなキノコードさんのユーチューブで学習していきます＃プログラミング　#python　＃キノコード　＃ユーチューブ
62,オジサンテクノロジー,OjiTec,0,4,2020-12-28-21:48:43,Python操作のGUIとして、思い切ってHTMLを使うのも有効だと思います。Flaskでサーバーを立ち上げれば簡単に環境が作れます。ちなみに、jsの知識はいりません。#プログラミング #Python
63,バラン@米国｜未経験・30代からのデータサイエンス,BaranGizagiza,0,22,2020-12-28-21:38:27,"おはようございます🌞#今日の積み上げ 204日目 #Python SIGNATE, t検定#読書 Web技術基礎#筋トレ#ブログ　更新ブログ書き終わったので後で更新します✌️SIGNATEでデータ分析実践中👍数値が上がらなくなってきた🤔違う方法を試してみます😎#駆け出しエンジニアとつながりたい"
64,いつおん@YouTube動画1日5本ぐらい投稿,itsuon120n,1,6,2020-12-28-21:29:10,いつおんチャンネルで新しい動画を公開しました。【Automatic Composition】初太-Hatta-V3_No．732【アルゴリズム作曲】 https://t.co/XmYQbmssGq#音楽 #Python #自動作曲 #プログラミング #Youtube
65,あたらし帳,atarashicho,1,0,2020-12-28-21:26:35,Pythonを学ぶための“標準教科書”。独習Python  #Python #独学 #Kindle  https://t.co/FqqfWLMN2k
66,ムッチン,mYI5A8h3qTCCLMO,0,1,2020-12-28-21:18:36,pythonを学習始めたことで、知らない世界を知った。今、小学校入学した気分✨数学を好き、嫌いとか関係なくこれは面白いかもしれない人生を変えるきっかけは、ほんの少しでも1歩を出すことなんだね✨#Python #自己研鑽
67,エレキマン＠一級建築士&第三種電気主任技術者,erectrical_s1,0,18,2020-12-28-21:05:05,おはようございます☀#今日の積み上げ①筋トレ②Python学習③英会話④簿記Pythonのライブラリって10万個以上あるんですね…実際に使うのは1%以下だと思いますが笑Python 100本ノックの先が長いので私はもうしばらくscikit-learnで遊ぶことになりそうです😅#朝活#Python
68,島貫農園,shima_farm,0,1,2020-12-28-21:00:14,ラズベリーパイより、12月29日6時0分の空模様と気温 -20.250℃ #raspberrypi #python #fswebcam #photo #北海道 #オホーツク #イマソラ https://t.co/Ij4Lup9gjG
69,Python研究室,Python55455260,0,17,2020-12-28-21:00:11,#駆け出しエンジニアと繋がりたい  #プログラミング #python  #プログラミング初心者  #プログラミング学習なんJ民「IT業界はweb系以外はゴミだぞ」https://t.co/zV84ahKf7V
70,repunit-habits,RepunitH,0,7,2020-12-28-20:28:23,【PGチャレンジday6-5】よくわからなかったので、スキルチェックはスキップ！リストも意外と理解できてた。#paiza  #Python #プログラミング #勉強 #習慣化 https://t.co/gPuEkdvbW5
71,24時間散歩おじさん✨24サンパー✨,office_diet,0,8,2020-12-28-20:14:47,✨初心者向け無料メンター56日目✨【8:00～20:00】✅#エクセル #VBA ✅DMにて相談✅Zoom or DMで回答【午前】✅#散歩365✅読書　#ことばに生かされて✨借本✨✅#Blender【午後】✅数学（線形代数）✅#Python データ分析通常時間割～✨カレンダーに支配されるのか、支配するのか🥰💕 https://t.co/88YD4BV7BR
72,narupo@ユーニックス総合研究所,narupo2,0,5,2020-12-28-19:47:36,"Janomeで回文判定アプリを作る【Python, 自然言語処理】 - なるぽのブログ https://t.co/r2vDl2Vpw9 #Blog #ブログ #Programming #プログラミング #Python #Janome #回文"
73,G検定攻略ガイド,0g1iPOHDHaYBY67,0,1,2020-12-28-19:12:13,【G検定攻略ガイドYoutube】Ｇ検定攻略講義その２～人工知能ブームの概要～｜https://t.co/uE9kQ6oMi8#G検定 #ディープラーニング #AI #人工知能 #資格 #Python2020-12-29 04:12:12.490551
74,repunit-habits,RepunitH,0,9,2020-12-28-19:09:42,【PGチャレンジday6-4】ここまでは順調。取りこぼしてた部分があったから、やって良かった。#paiza  #Python #プログラミング #勉強 #習慣化 https://t.co/zFcrwnQa9g
