9531 東証1部 東京ガス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","528","539.6","526.7","538.3","7539000","2691.5"
"2017-01-05","537.3","539.9","535","536.7","4117000","2683.5"
"2017-01-06","537.8","538.5","532.1","538.3","4917000","2691.5"
"2017-01-10","529","533.6","525.6","525.6","6248000","2628"
"2017-01-11","535.6","535.6","529.2","529.7","5503000","2648.5"
"2017-01-12","530.4","531.3","520.3","521.9","7573000","2609.5"
"2017-01-13","521.9","535.9","521.9","533.4","7142000","2667"
"2017-01-16","527.8","530.7","525.9","529.3","4874000","2646.5"
"2017-01-17","524.3","526.9","518.3","519.2","6619000","2596"
"2017-01-18","516.1","519.8","512.5","518.8","7393000","2594"
"2017-01-19","526","531","522.5","525.8","4307000","2629"
"2017-01-20","524.6","531.5","521.9","528.9","5960000","2644.5"
"2017-01-23","521.9","525.7","519","523","5030000","2615"
"2017-01-24","517.8","525","515.9","521.4","9629000","2607"
"2017-01-25","530","532.5","518.1","521.3","6237000","2606.5"
"2017-01-26","529.6","530.9","522.1","526.2","7766000","2631"
"2017-01-27","530","534.8","526.5","528.4","8812000","2642"
"2017-01-30","522.3","522.8","514.3","519.5","7919000","2597.5"
"2017-01-31","513.9","515.1","498.4","499.8","11181000","2499"
"2017-02-01","507.8","508.2","500.8","501.3","8041000","2506.5"
"2017-02-02","495.3","495.3","485.4","488.5","10915000","2442.5"
"2017-02-03","508.5","508.5","496.2","499.2","10805000","2496"
"2017-02-06","494.5","500.1","493.2","498.4","6686000","2492"
"2017-02-07","491.4","501.1","491.4","498.3","4683000","2491.5"
"2017-02-08","497.1","505.1","497.1","503.2","6494000","2516"
"2017-02-09","502.9","512","502.2","511.9","8483000","2559.5"
"2017-02-10","519.3","528.3","518.5","527","9276000","2635"
"2017-02-13","526.5","527.2","519.3","520.2","5390000","2601"
"2017-02-14","530.2","530.2","521.1","523.6","6596000","2618"
"2017-02-15","525.8","526.6","516.6","518.3","4756000","2591.5"
"2017-02-16","520.8","520.9","514.1","516.7","4005000","2583.5"
"2017-02-17","515.2","518","512.6","516.8","4153000","2584"
"2017-02-20","513.9","518.2","511.6","516.2","3211000","2581"
"2017-02-21","515","518.9","515","518.9","4000000","2594.5"
"2017-02-22","520.5","520.9","515.8","517.2","4653000","2586"
"2017-02-23","517.3","522","513","522","4862000","2610"
"2017-02-24","519.6","522.9","516.1","517","6768000","2585"
"2017-02-27","509.5","515.5","506.3","511.3","8186000","2556.5"
"2017-02-28","517.7","519.5","509","509.8","8426000","2549"
"2017-03-01","513.6","518.3","510.9","514.1","6609000","2570.5"
"2017-03-02","517.3","521.9","514.1","520.1","5875000","2600.5"
"2017-03-03","525.9","525.9","514.2","517","5648000","2585"
"2017-03-06","510.1","513.5","508.6","509.6","5368000","2548"
"2017-03-07","508.5","511.2","507.1","508.4","5013000","2542"
"2017-03-08","510.3","511.9","507.1","511.2","4727000","2556"
"2017-03-09","511.9","514.7","509.3","512.5","5556000","2562.5"
"2017-03-10","520.5","526.5","515","521.3","7398000","2606.5"
"2017-03-13","514.4","522.8","514.4","522.6","5328000","2613"
"2017-03-14","524.6","526","521.1","521.6","5060000","2608"
"2017-03-15","520.9","523.2","516.1","517.5","5579000","2587.5"
"2017-03-16","518.5","521.5","516.1","520.1","4922000","2600.5"
"2017-03-17","517.3","519.5","512.4","513.4","7691000","2567"
"2017-03-21","515","516.1","510.6","513.4","3991000","2567"
"2017-03-22","510","510.5","504.8","505.1","4465000","2525.5"
"2017-03-23","505.1","509.9","504.6","508.6","4320000","2543"
"2017-03-24","509.9","514.5","507.7","513.5","3678000","2567.5"
"2017-03-27","510.1","512.2","505.7","509.9","3794000","2549.5"
"2017-03-28","512.5","521.8","512.5","520.2","6527000","2601"
"2017-03-29","517.4","519.2","512.4","515.9","7189000","2579.5"
"2017-03-30","516.4","518.8","490.2","492.7","16008000","2463.5"
"2017-03-31","509","516.9","503.2","506.6","14474000","2533"
"2017-04-03","513.7","518.9","507.2","515.8","8308000","2579"
"2017-04-04","507.6","523.5","507.6","522.4","9183000","2612"
"2017-04-05","520.9","525.5","517.1","523.8","7502000","2619"
"2017-04-06","519.9","521.4","506.4","507.4","6055000","2537"
"2017-04-07","517.4","517.4","507.1","509.8","7760000","2549"
"2017-04-10","519.8","520","510.3","511.7","5846000","2558.5"
"2017-04-11","503.1","509.4","503.1","508.2","5038000","2541"
"2017-04-12","499.6","507.5","499.5","505.8","6476000","2529"
"2017-04-13","509.8","510.7","502.5","507.5","6535000","2537.5"
"2017-04-14","508.8","508.8","495.4","498.4","3986000","2492"
"2017-04-17","496.3","508.1","496","507.9","3228000","2539.5"
"2017-04-18","509.1","514.3","506.8","513.7","4615000","2568.5"
"2017-04-19","507.2","518.8","506.8","516.4","8321000","2582"
"2017-04-20","516","517.5","506","506","6584000","2530"
"2017-04-21","511.9","518.8","511.1","517.2","6501000","2586"
"2017-04-24","519.8","525.4","518","522.7","5916000","2613.5"
"2017-04-25","526.6","535.6","524.5","529.7","7201000","2648.5"
"2017-04-26","539.7","539.7","528.7","533.7","7066000","2668.5"
"2017-04-27","534.1","535","520","520.7","7738000","2603.5"
"2017-04-28","515.3","521.6","498","517.5","10836000","2587.5"
"2017-05-01","510.7","523","510.2","522.9","8690000","2614.5"
"2017-05-02","518.7","522.3","515.1","519.8","8856000","2599"
"2017-05-08","527.3","538.8","526.3","537.7","10696000","2688.5"
"2017-05-09","527.7","538.9","527.5","535.8","9443000","2679"
"2017-05-10","545.8","558.1","544.2","551.5","12546000","2757.5"
"2017-05-11","546.8","550.1","543.8","549.2","10078000","2746"
"2017-05-12","551.2","556","546.4","553.8","7467000","2769"
"2017-05-15","549","556.5","546.6","554.7","6721000","2773.5"
"2017-05-16","555.1","559.9","553.8","559.3","6621000","2796.5"
"2017-05-17","564","572","564","571.7","8864000","2858.5"
"2017-05-18","575","582.6","575","581.5","15271000","2907.5"
