9531 東証1部 東京ガス(株)（電気・ガス業）,,,,,
"2015-05-20","675.7","679.8","672","677.3","10957000","3386.5"
"2015-05-21","681.5","682","672.1","679.1","10818000","3395.5"
"2015-05-22","679.6","680.2","674.3","677.2","5729000","3386"
"2015-05-25","682","684.9","677.2","680.4","7420000","3402"
"2015-05-26","683.6","685.5","682.1","682.2","6076000","3411"
"2015-05-27","682","682.2","673.3","673.9","10077000","3369.5"
"2015-05-28","673.9","684.1","670.1","683.4","13284000","3417"
"2015-05-29","689.7","699.9","687","688.1","13745000","3440.5"
"2015-06-01","677.8","688","676.1","686.9","7826000","3434.5"
"2015-06-02","692","697.1","687.4","695.4","9542000","3477"
"2015-06-03","700","703.4","689","695","10775000","3475"
"2015-06-04","694.8","694.8","680","680.1","11680000","3400.5"
"2015-06-05","675","684.6","672.9","682.1","10199000","3410.5"
"2015-06-08","677.7","686.6","677.7","681.5","8904000","3407.5"
"2015-06-09","676.5","695.6","676","690.6","14020000","3453"
"2015-06-10","692.1","702.9","686.9","697.3","14092000","3486.5"
"2015-06-11","695.1","707.9","693.6","704.4","15031000","3522"
"2015-06-12","701.5","701.9","690.4","692.5","15624000","3462.5"
"2015-06-15","682.5","696.5","681.8","694.9","9631000","3474.5"
"2015-06-16","689.9","698","689.9","695.2","5791000","3476"
"2015-06-17","697.3","701.1","687.8","688.3","7184000","3441.5"
"2015-06-18","685","689.9","680.5","687","6998000","3435"
"2015-06-19","678.9","682.6","668.4","670.9","15182000","3354.5"
"2015-06-22","669.5","685","669.4","684","8192000","3420"
"2015-06-23","688","699.1","683.3","696.8","9938000","3484"
"2015-06-24","696.3","697.6","686.5","686.5","11073000","3432.5"
"2015-06-25","678.6","687","673.3","673.3","10171000","3366.5"
"2015-06-26","676.8","678.3","666.1","671.4","6103000","3357"
"2015-06-29","655.1","662.5","653.7","657","7613000","3285"
"2015-06-30","660.6","663.1","647.7","650","11212000","3250"
"2015-07-01","652.6","654","640.8","642.3","9770000","3211.5"
"2015-07-02","650.4","655.9","647.1","651.2","8475000","3256"
"2015-07-03","650","661.1","647.3","651.2","9000000","3256"
"2015-07-06","641.2","649.6","641.2","644.6","7094000","3223"
"2015-07-07","656.7","659.9","652.9","656.9","7997000","3284.5"
"2015-07-08","649.1","654.3","643","643","9021000","3215"
"2015-07-09","638.7","642","630.1","640.3","9580000","3201.5"
"2015-07-10","646.6","653.1","641.3","642.8","11964000","3214"
"2015-07-13","649.1","663.1","646.6","661.5","7917000","3307.5"
"2015-07-14","670.5","673.4","662.4","665.4","7357000","3327"
"2015-07-15","668","668.2","660.8","662.5","8979000","3312.5"
"2015-07-16","668.7","671.9","662.6","671.9","7266000","3359.5"
"2015-07-17","668.7","672.9","666.1","670.5","4000000","3352.5"
"2015-07-21","672.8","681.2","669","679.3","6024000","3396.5"
"2015-07-22","677.8","679.8","671.5","673.5","4579000","3367.5"
"2015-07-23","677.8","678.8","669.2","671.9","3931000","3359.5"
"2015-07-24","669.9","670.8","664.7","666.6","5400000","3333"
"2015-07-27","660","669.9","660","665.9","4552000","3329.5"
"2015-07-28","662.4","669.2","660.4","663","5299000","3315"
"2015-07-29","664","670.6","664","669.7","3782000","3348.5"
"2015-07-30","673","681.5","666.8","672.8","9376000","3364"
"2015-07-31","672.8","673.3","661.8","669.6","11404000","3348"
"2015-08-03","667.6","679.5","665","673.2","7509000","3366"
"2015-08-04","677","696.1","675.9","693","11192000","3465"
"2015-08-05","700","704.6","692.4","698.7","11017000","3493.5"
"2015-08-06","699.2","708.8","698.7","700.7","9936000","3503.5"
"2015-08-07","699.8","703.1","692","700.5","6562000","3502.5"
"2015-08-10","705","709.1","701.5","707.5","9783000","3537.5"
"2015-08-11","710","711.8","691.3","700.2","11647000","3501"
"2015-08-12","699.7","702.7","686.5","692","5650000","3460"
"2015-08-13","693.4","702.6","690.8","699.3","7758000","3496.5"
"2015-08-14","700","702.5","694.3","699.2","5107000","3496"
"2015-08-17","702","708.5","700.4","705","5565000","3525"
"2015-08-18","702","706.8","695.3","704.1","5247000","3520.5"
"2015-08-19","704.2","724.9","704.1","715.3","11051000","3576.5"
"2015-08-20","706.6","717.2","684.4","705.4","9893000","3527"
"2015-08-21","698","710","694.4","695.1","10046000","3475.5"
"2015-08-24","680.3","689.4","657.2","657.3","10864000","3286.5"
"2015-08-25","639.1","663.9","623.7","623.7","18335000","3118.5"
"2015-08-26","623.6","643.2","622.1","641.7","10848000","3208.5"
"2015-08-27","649.2","662.6","645","650","8974000","3250"
"2015-08-28","660","670.5","654","663.7","8108000","3318.5"
"2015-08-31","660","666.2","655.7","663.3","5633000","3316.5"
"2015-09-01","657.6","659","634.4","634.4","6356000","3172"
"2015-09-02","617.1","631.5","611.3","615.7","10108000","3078.5"
"2015-09-03","625","630.6","614.3","616.1","5672000","3080.5"
"2015-09-04","623.6","626.4","602.5","609.6","7343000","3048"
"2015-09-07","608.3","619","603","612.7","4633000","3063.5"
"2015-09-08","616.5","618.4","598.2","600.9","4906000","3004.5"
"2015-09-09","618","634","615.4","633.8","6110000","3169"
"2015-09-10","617.3","628.9","615","628.4","4757000","3142"
"2015-09-11","618","626.1","616.6","618","10077000","3090"
"2015-09-14","625","631.2","622.7","622.7","4973000","3113.5"
"2015-09-15","612.4","628.1","612","616.5","8682000","3082.5"
"2015-09-16","616.6","619.6","607.2","616.3","5925000","3081.5"
"2015-09-17","622","629","619.3","623.8","7524000","3119"
"2015-09-18","622.2","627.1","617","620.7","10999000","3103.5"
"2015-09-24","618.1","619.6","574.8","574.8","13781000","2874"
"2015-09-25","571","603","570","601.1","14134000","3005.5"
"2015-09-28","598.8","608.7","588.8","592.5","7936000","2962.5"
"2015-09-29","587","592.7","577.3","577.5","12598000","2887.5"
"2015-09-30","577.1","584.4","567.2","577.8","11030000","2889"
"2015-10-01","575.2","578.9","563.4","573.5","10606000","2867.5"
"2015-10-02","560.5","565.8","555.2","565.7","8855000","2828.5"
"2015-10-05","565.8","570.9","557.6","562.2","10418000","2811"
"2015-10-06","572.2","573.4","567.2","567.6","9583000","2838"
"2015-10-07","573.2","581.2","566.1","574.9","9713000","2874.5"
"2015-10-08","576.7","581.8","567.6","576.1","9330000","2880.5"
"2015-10-09","582.6","597.7","580.3","596.3","9193000","2981.5"
"2015-10-13","594.1","597.7","590.7","592.1","7862000","2960.5"
"2015-10-14","589.8","594.3","583.4","586.4","8352000","2932"
"2015-10-15","589.4","600.3","586","596.8","6849000","2984"
"2015-10-16","607.2","611.8","600.9","601.9","7524000","3009.5"
"2015-10-19","596.9","601.9","591.9","597.2","4637000","2986"
"2015-10-20","603.3","607.8","597.6","598.2","6926000","2991"
"2015-10-21","604.4","606.8","595.3","605.8","4922000","3029"
"2015-10-22","599.1","606.8","598","604.4","3474000","3022"
"2015-10-23","620.9","622.1","613.1","615.4","6181000","3077"
"2015-10-26","624.9","625.5","616.5","617.3","5528000","3086.5"
"2015-10-27","615.2","622.8","614.7","616.3","7683000","3081.5"
"2015-10-28","616","618.2","608","612.6","9686000","3063"
"2015-10-29","612.4","624.5","611","616.4","21663000","3082"
"2015-10-30","615.5","620.5","600.4","601.6","13054000","3008"
"2015-11-02","596","599.1","580.2","582.1","11434000","2910.5"
"2015-11-04","592.1","592.8","583","584.3","11222000","2921.5"
"2015-11-05","586","595.3","585.4","590.1","8085000","2950.5"
"2015-11-06","593.6","598.1","586.6","596.1","10398000","2980.5"
"2015-11-09","603.3","603.9","594.6","596.9","9677000","2984.5"
"2015-11-10","595.3","598.1","590.5","592.1","7180000","2960.5"
"2015-11-11","588.9","590","583.2","584.9","7559000","2924.5"
"2015-11-12","586.4","590.8","584.1","589.5","6852000","2947.5"
"2015-11-13","586","587.6","573.6","575.6","10017000","2878"
"2015-11-16","570","576.6","567.8","574","8234000","2870"
"2015-11-17","580.3","583","577.1","580.5","7468000","2902.5"
"2015-11-18","580","583.6","575.9","583.6","9592000","2918"
"2015-11-19","590.5","596.3","583.8","584.8","8684000","2924"
"2015-11-20","581.7","588.5","581.5","588.5","10346000","2942.5"
"2015-11-24","588.1","591.2","586.6","590","10268000","2950"
"2015-11-25","585.7","596.3","584.5","591.9","8964000","2959.5"
"2015-11-26","592.4","598.2","591.2","595.5","6371000","2977.5"
"2015-11-27","595.3","597.5","590.1","591.2","7122000","2956"
"2015-11-30","591.1","591.7","584","588.1","16525000","2940.5"
"2015-12-01","591","613","590.4","613","13644000","3065"
"2015-12-02","613.1","620.9","611","611","9058000","3055"
"2015-12-03","605.1","614.3","604.8","609.3","7158000","3046.5"
"2015-12-04","601.9","606.9","595.2","606.9","9869000","3034.5"
"2015-12-07","610","610.3","601.1","602.2","7782000","3011"
"2015-12-08","602.6","603.1","594.5","596.7","7618000","2983.5"
"2015-12-09","592","594.6","586.4","589.7","9983000","2948.5"
"2015-12-10","584.7","587.4","583.3","586","8951000","2930"
"2015-12-11","581.9","590.2","579.6","587.8","11978000","2939"
"2015-12-14","574.3","577.7","570.1","574.9","9301000","2874.5"
"2015-12-15","573.2","573.7","563.4","568","9619000","2840"
"2015-12-16","572.1","575.2","565","567.4","8418000","2837"
"2015-12-17","575","575.4","567.1","567.9","12425000","2839.5"
"2015-12-18","565","579","554.3","554.7","18413000","2773.5"
"2015-12-21","549.9","555.2","542","548.5","13851000","2742.5"
"2015-12-22","545","553.9","544.2","551.2","8319000","2756"
"2015-12-24","561.2","567.9","555.2","555.8","8488000","2779"
"2015-12-25","556","559.4","543.3","545.5","6291000","2727.5"
"2015-12-28","546.2","558.1","546.1","553.6","7032000","2768"
"2015-12-29","554.5","561.7","548.8","559.9","6030000","2799.5"
"2015-12-30","560.9","573.1","560.1","570.8","8909000","2854"
