9531 東証1部 東京ガス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","650","650","638","643.3","8963000","3216.5"
"2015-01-06","633.3","635","625.2","625.2","9570000","3126"
"2015-01-07","622.6","627.9","619.7","620.2","6160000","3101"
"2015-01-08","628.6","637","626.6","630.7","9246000","3153.5"
"2015-01-09","633","637.3","630.1","633.5","6587000","3167.5"
"2015-01-13","629.9","636.9","622.2","636.9","8027000","3184.5"
"2015-01-14","633.9","647.9","633.9","645.6","12103000","3228"
"2015-01-15","650","659.3","649.7","657.3","10339000","3286.5"
"2015-01-16","645","658.1","644","658.1","7016000","3290.5"
"2015-01-19","661","675","661","671.2","10603000","3356"
"2015-01-20","675","686","673.8","685","10778000","3425"
"2015-01-21","678.7","685.7","675.1","679.9","10820000","3399.5"
"2015-01-22","679.9","680.8","672","679.6","8007000","3398"
"2015-01-23","685","687.3","683.1","686.1","7161000","3430.5"
"2015-01-26","680.7","693.5","680.7","692.5","6859000","3462.5"
"2015-01-27","696.5","705.2","689.5","704.9","10142000","3524.5"
"2015-01-28","694.8","709.7","693.9","706.4","8625000","3532"
"2015-01-29","697.1","709","697.1","702.6","6906000","3513"
"2015-01-30","706.9","712.3","700.7","706.3","11061000","3531.5"
"2015-02-02","703.2","722.5","699.2","720.9","9090000","3604.5"
"2015-02-03","720.9","721.8","711.1","713.6","9000000","3568"
"2015-02-04","722","731","721","724.5","10065000","3622.5"
"2015-02-05","724.6","726.8","696.9","697.3","12996000","3486.5"
"2015-02-06","707.3","719.4","706.8","710.5","9658000","3552.5"
"2015-02-09","715.4","718.2","705.4","712.8","8589000","3564"
"2015-02-10","715","716.9","708.1","716.5","6950000","3582.5"
"2015-02-12","723.5","727.5","715","716.3","11565000","3581.5"
"2015-02-13","716","719.2","708","710.1","9969000","3550.5"
"2015-02-16","714.8","719.9","710.1","719.2","8048000","3596"
"2015-02-17","724.4","729.4","714.6","719","7829000","3595"
"2015-02-18","728.6","734.5","723.6","731","8844000","3655"
"2015-02-19","731","736","728.9","731","9960000","3655"
"2015-02-20","731.6","734","727.7","732.9","8317000","3664.5"
"2015-02-23","735.4","739.8","729.4","734","8276000","3670"
"2015-02-24","730","731.7","726.1","731.5","8971000","3657.5"
"2015-02-25","731.9","737.5","729.1","731.9","10827000","3659.5"
"2015-02-26","730","733.2","721.2","733.2","8373000","3666"
"2015-02-27","730.6","731.5","699.4","728.2","11150000","3641"
"2015-03-02","729.4","741.8","725","740.7","7224000","3703.5"
"2015-03-03","741.8","751.4","738.7","749.4","10350000","3747"
"2015-03-04","749.5","750.4","728.3","735.4","8488000","3677"
"2015-03-05","732.3","740.9","731.3","740.7","6379000","3703.5"
"2015-03-06","741.2","748.4","737","740.1","8054000","3700.5"
"2015-03-09","740.5","740.5","729.1","731.5","6528000","3657.5"
"2015-03-10","732","732.7","717.4","722.1","8268000","3610.5"
"2015-03-11","716","730.3","715.5","724.5","6022000","3622.5"
"2015-03-12","729.9","735.2","729.5","733.5","7837000","3667.5"
"2015-03-13","736.9","750.4","728","750","16846000","3750"
"2015-03-16","742.8","747.6","738.1","739.3","5805000","3696.5"
"2015-03-17","761.2","762.4","753.3","756.5","8915000","3782.5"
"2015-03-18","755","763.8","755","762","7259000","3810"
"2015-03-19","762.2","770","758.6","765.4","7098000","3827"
"2015-03-20","766.9","766.9","754.2","762.2","7890000","3811"
"2015-03-23","762.9","769.8","761","766.6","6001000","3833"
"2015-03-24","762.5","770.3","760.7","763.7","8483000","3818.5"
"2015-03-25","764.2","768","755.1","767.4","7846000","3837"
"2015-03-26","766.7","766.7","751.1","755.8","6032000","3779"
"2015-03-27","750.4","764","746.9","755.5","5903000","3777.5"
"2015-03-30","751","760","747.1","757.9","6356000","3789.5"
"2015-03-31","770.8","773.4","756.2","756.2","9657000","3781"
"2015-04-01","749.1","758","742.7","751.2","9347000","3756"
"2015-04-02","757.5","778.8","755.1","770.8","10153000","3854"
"2015-04-03","774.6","780.8","768.5","779.9","6418000","3899.5"
"2015-04-06","776.6","785.4","773.2","781.9","3502000","3909.5"
"2015-04-07","792.7","801.4","779.3","781.6","10224000","3908"
"2015-04-08","796.6","799.1","780.3","799.1","12200000","3995.5"
"2015-04-09","802","804.6","793.7","799.5","7177000","3997.5"
"2015-04-10","800.9","801.1","781.3","785.9","14673000","3929.5"
"2015-04-13","772.1","775.1","754.3","758.2","14905000","3791"
"2015-04-14","758.8","764.9","754.3","761.2","8054000","3806"
"2015-04-15","757.1","761.6","748.8","749.8","8849000","3749"
"2015-04-16","743.5","747","738.6","747","9760000","3735"
"2015-04-17","736","743.8","735.1","740.4","6259000","3702"
"2015-04-20","735.3","739.2","730.7","731.5","7115000","3657.5"
"2015-04-21","736.1","747.8","733.1","746.9","7792000","3734.5"
"2015-04-22","746.9","747.9","741.3","744.1","6180000","3720.5"
"2015-04-23","749","751.4","744.5","748.9","5921000","3744.5"
"2015-04-24","752.9","753.6","746.1","748.2","4259000","3741"
"2015-04-27","744.1","751.8","737.1","743","6646000","3715"
"2015-04-28","750","764.6","728.3","736","14336000","3680"
"2015-04-30","707.1","714.5","691.4","692.5","19886000","3462.5"
"2015-05-01","689","691.1","668.7","677.5","17095000","3387.5"
"2015-05-07","671.1","677.2","665.6","673","12744000","3365"
"2015-05-08","672.8","687.7","666.1","687.7","12219000","3438.5"
"2015-05-11","699.5","699.8","688.9","690.7","9349000","3453.5"
"2015-05-12","687.5","695.8","686","692.5","9129000","3462.5"
"2015-05-13","683.7","695.3","682","690.3","8048000","3451.5"
"2015-05-14","688.9","690.4","683.2","684.1","7925000","3420.5"
"2015-05-15","684.9","685","666","670.5","14376000","3352.5"
"2015-05-18","672.6","677.1","668.6","673.7","12968000","3368.5"
"2015-05-19","671.3","676.8","669.3","673.5","10022000","3367.5"
