9531 東証1部 東京ガス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","565","567","544.3","546.2","10447000","2731"
"2016-01-05","543.6","552","537.1","547.8","11639000","2739"
"2016-01-06","550","553.3","542.6","545","7831000","2725"
"2016-01-07","546.1","552.7","543.2","545.7","8429000","2728.5"
"2016-01-08","542","551.7","540","540.1","8900000","2700.5"
"2016-01-12","534.4","542.8","530","530","9874000","2650"
"2016-01-13","533.3","540.8","528.9","539.3","8953000","2696.5"
"2016-01-14","523.8","531.9","521.2","527.7","12073000","2638.5"
"2016-01-15","532","540.3","529","533.6","15846000","2668"
"2016-01-18","522.4","530.7","518.1","527.8","10772000","2639"
"2016-01-19","527","530.8","517.8","519.6","8856000","2598"
"2016-01-20","519.2","522.4","500.1","500.1","11076000","2500.5"
"2016-01-21","500","508.2","488.9","488.9","13798000","2444.5"
"2016-01-22","504.9","520.2","502.1","518.7","13614000","2593.5"
"2016-01-25","527","527.5","516.4","520.1","7760000","2600.5"
"2016-01-26","513.9","514","505.3","506.6","6865000","2533"
"2016-01-27","520","534.2","519.1","532.2","12759000","2661"
"2016-01-28","532.7","539.2","529.4","534","11828000","2670"
"2016-01-29","544","554","535.8","549.6","15345000","2748"
"2016-02-01","566.1","567","556.6","561.2","11405000","2806"
"2016-02-02","580","580","558.3","573.2","12976000","2866"
"2016-02-03","564","567.2","558.1","566.7","11445000","2833.5"
"2016-02-04","565.2","575.4","564.3","571.6","15871000","2858"
"2016-02-05","559.4","560.3","550.9","557.3","12607000","2786.5"
"2016-02-08","550.7","569.6","550.1","567.8","8574000","2839"
"2016-02-09","551.6","559.2","548.2","554.8","13553000","2774"
"2016-02-10","552.3","556.1","525.7","532.7","13163000","2663.5"
"2016-02-12","531","544","516.8","520","16425000","2600"
"2016-02-15","532.4","560.3","532.4","557.2","14947000","2786"
"2016-02-16","548.6","552.6","538.5","539.9","11158000","2699.5"
"2016-02-17","538.9","542.7","521","532.5","12800000","2662.5"
"2016-02-18","545","548.7","534.2","536.3","11060000","2681.5"
"2016-02-19","534.6","542.2","531.1","539.9","7506000","2699.5"
"2016-02-22","535","543.6","529.3","540.9","6005000","2704.5"
"2016-02-23","543.4","551.2","538.4","540.5","7628000","2702.5"
"2016-02-24","536.9","542.8","526.8","528.6","11216000","2643"
"2016-02-25","529.9","537.4","528.5","530.9","12259000","2654.5"
"2016-02-26","535.8","541.2","533.1","533.8","7269000","2669"
"2016-02-29","541.3","541.8","521.1","521.1","9489000","2605.5"
"2016-03-01","516.1","522.1","513.4","520.5","9834000","2602.5"
"2016-03-02","534","535.2","527","529","11759000","2645"
"2016-03-03","538.9","555.7","536.5","543.3","11966000","2716.5"
"2016-03-04","543.3","555.2","543","548.9","10126000","2744.5"
"2016-03-07","546.9","547.5","528.6","529.1","9804000","2645.5"
"2016-03-08","523.4","523.6","512","512","14534000","2560"
"2016-03-09","506.9","508.5","491","492.2","22195000","2461"
"2016-03-10","498","514.3","492.2","508.6","17454000","2543"
"2016-03-11","506.3","519.7","501","515.8","16266000","2579"
"2016-03-14","516.9","517.7","507.5","511.3","12603000","2556.5"
"2016-03-15","515","520.5","509.1","510.5","12843000","2552.5"
"2016-03-16","506","517.8","505.1","505.2","12234000","2526"
"2016-03-17","505.3","510.3","498.3","502.4","12360000","2512"
"2016-03-18","503","509.5","503","506.7","12717000","2533.5"
"2016-03-22","509.5","520.8","509.1","513","14027000","2565"
"2016-03-23","512.6","527.5","512.1","522.4","12080000","2612"
"2016-03-24","525.9","527.7","518.7","521.3","9681000","2606.5"
"2016-03-25","521.4","529.5","518.8","526.6","5906000","2633"
"2016-03-28","530","532.5","523.9","532.5","6569000","2662.5"
"2016-03-29","526.5","532.7","526.5","530","7305000","2650"
"2016-03-30","528.9","530.2","516.4","516.7","11660000","2583.5"
"2016-03-31","517.5","528.7","513.8","524.7","12636000","2623.5"
"2016-04-01","522","525.3","498.1","499.2","11327000","2496"
"2016-04-04","500.5","509.5","495.8","498","9623000","2490"
"2016-04-05","496","496.7","479.3","480.8","13006000","2404"
"2016-04-06","479.7","481.5","466.8","475","18076000","2375"
"2016-04-07","477.6","483.9","474.5","480.6","13679000","2403"
"2016-04-08","475","482.6","467.8","476.9","11355000","2384.5"
"2016-04-11","478.6","480.5","472.7","476.3","6708000","2381.5"
