9531 東証1部 東京ガス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2013-01-04","401","408","400","406","13425000","2030"
"2013-01-07","410","412","405","410","12006000","2050"
"2013-01-08","412","414","409","414","12390000","2070"
"2013-01-09","410","418","409","415","14486000","2075"
"2013-01-10","417","421","412","413","19697000","2065"
"2013-01-11","414","418","411","413","11009000","2065"
"2013-01-15","416","423","416","423","9205000","2115"
"2013-01-16","424","432","424","428","14660000","2140"
"2013-01-17","432","435","429","434","14635000","2170"
"2013-01-18","432","434","430","434","9744000","2170"
"2013-01-21","435","438","430","433","9869000","2165"
"2013-01-22","433","438","428","430","11583000","2150"
"2013-01-23","430","437","427","431","9918000","2155"
"2013-01-24","429","430","425","429","9279000","2145"
"2013-01-25","430","435","430","434","9061000","2170"
"2013-01-28","435","437","434","435","8313000","2175"
"2013-01-29","434","439","433","435","8850000","2175"
"2013-01-30","434","435","429","430","9243000","2150"
"2013-01-31","433","435","427","431","12416000","2155"
"2013-02-01","430","434","430","432","6597000","2160"
"2013-02-04","432","433","426","427","6721000","2135"
"2013-02-05","426","429","421","423","7642000","2115"
"2013-02-06","426","438","425","438","11371000","2190"
"2013-02-07","436","438","432","435","12382000","2175"
"2013-02-08","434","438","432","434","9266000","2170"
"2013-02-12","437","445","437","440","8837000","2200"
"2013-02-13","439","440","431","434","7794000","2170"
"2013-02-14","433","437","431","431","5483000","2155"
"2013-02-15","435","439","430","434","12256000","2170"
"2013-02-18","432","447","431","446","13205000","2230"
"2013-02-19","445","448","441","442","5146000","2210"
"2013-02-20","448","459","448","457","12571000","2285"
"2013-02-21","455","457","446","448","10519000","2240"
"2013-02-22","445","451","444","449","9068000","2245"
"2013-02-25","454","456","450","453","7895000","2265"
"2013-02-26","447","454","447","447","9405000","2235"
"2013-02-27","446","449","442","442","6688000","2210"
"2013-02-28","446","448","444","448","7284000","2240"
"2013-03-01","464","475","464","466","22339000","2330"
"2013-03-04","466","484","466","479","18539000","2395"
"2013-03-05","477","482","472","474","10661000","2370"
"2013-03-06","473","485","471","481","13638000","2405"
"2013-03-07","485","490","479","488","11778000","2440"
"2013-03-08","485","485","477","483","20388000","2415"
"2013-03-11","483","488","479","486","10884000","2430"
"2013-03-12","487","489","482","486","7853000","2430"
"2013-03-13","484","486","480","484","8035000","2420"
"2013-03-14","485","491","483","491","7871000","2455"
"2013-03-15","486","500","485","500","14667000","2500"
"2013-03-18","494","495","486","488","8780000","2440"
"2013-03-19","488","500","488","499","11082000","2495"
"2013-03-21","501","515","500","501","12121000","2505"
"2013-03-22","505","523","500","500","11155000","2500"
"2013-03-25","504","507","501","501","7039000","2505"
"2013-03-26","499","511","497","508","14192000","2540"
"2013-03-27","499","508","498","504","10124000","2520"
"2013-03-28","506","510","501","508","9631000","2540"
"2013-03-29","509","514","504","514","11166000","2570"
"2013-04-01","513","514","495","495","11968000","2475"
"2013-04-02","501","501","485","493","12973000","2465"
"2013-04-03","492","503","488","501","13418000","2505"
"2013-04-04","499","517","492","517","18683000","2585"
"2013-04-05","523","547","512","516","23134000","2580"
"2013-04-08","525","535","511","521","12947000","2605"
"2013-04-09","510","517","505","513","14519000","2565"
"2013-04-10","517","523","514","517","14185000","2585"
"2013-04-11","521","526","518","525","14244000","2625"
"2013-04-12","524","532","519","528","21433000","2640"
"2013-04-15","531","541","529","539","18710000","2695"
"2013-04-16","530","547","524","543","24191000","2715"
"2013-04-17","550","551","534","544","14127000","2720"
"2013-04-18","548","553","540","541","10713000","2705"
"2013-04-19","541","546","531","544","11931000","2720"
"2013-04-22","550","554","541","542","8802000","2710"
