9531 東証1部 東京ガス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2014-01-06","518","524","512","515","9653000","2575"
"2014-01-07","515","515","510","512","4642000","2560"
"2014-01-08","512","514","508","512","4969000","2560"
"2014-01-09","512","512","506","509","7121000","2545"
"2014-01-10","509","509","503","504","8973000","2520"
"2014-01-14","504","505","497","499","10173000","2495"
"2014-01-15","503","512","502","512","8154000","2560"
"2014-01-16","511","518","510","515","11663000","2575"
"2014-01-17","513","518","513","513","6234000","2565"
"2014-01-20","515","519","511","516","7005000","2580"
"2014-01-21","518","518","513","513","3753000","2565"
"2014-01-22","511","518","511","518","7640000","2590"
"2014-01-23","520","527","515","516","14242000","2580"
"2014-01-24","514","523","513","518","11086000","2590"
"2014-01-27","511","519","509","515","13729000","2575"
"2014-01-28","524","534","519","519","15366000","2595"
"2014-01-29","522","530","515","529","13506000","2645"
"2014-01-30","519","519","509","514","12797000","2570"
"2014-01-31","514","519","506","512","7648000","2560"
"2014-02-03","505","507","500","500","10746000","2500"
"2014-02-04","490","491","473","475","20222000","2375"
"2014-02-05","478","482","474","479","13321000","2395"
"2014-02-06","475","477","470","470","13675000","2350"
"2014-02-07","478","482","473","481","11858000","2405"
"2014-02-10","489","490","477","485","11139000","2425"
"2014-02-12","489","492","485","485","10180000","2425"
"2014-02-13","486","489","481","484","7079000","2420"
"2014-02-14","485","486","471","476","10790000","2380"
"2014-02-17","477","483","475","483","9048000","2415"
"2014-02-18","482","489","478","486","7449000","2430"
"2014-02-19","483","489","481","485","7928000","2425"
"2014-02-20","480","484","477","481","10201000","2405"
"2014-02-21","484","496","484","494","8806000","2470"
"2014-02-24","497","500","490","500","9599000","2500"
"2014-02-25","501","506","497","505","8573000","2525"
"2014-02-26","501","511","499","508","8900000","2540"
"2014-02-27","508","513","504","509","7801000","2545"
"2014-02-28","506","512","505","510","6967000","2550"
"2014-03-03","507","513","502","512","8415000","2560"
"2014-03-04","511","518","508","509","8745000","2545"
"2014-03-05","513","518","507","508","9197000","2540"
"2014-03-06","508","509","502","504","9463000","2520"
"2014-03-07","508","515","508","513","9107000","2565"
"2014-03-10","512","519","508","519","14583000","2595"
"2014-03-11","521","538","519","533","17631000","2665"
"2014-03-12","525","529","522","522","10252000","2610"
"2014-03-13","523","531","522","528","8065000","2640"
"2014-03-14","528","528","513","514","15370000","2570"
"2014-03-17","510","511","505","507","7129000","2535"
"2014-03-18","517","520","509","509","5352000","2545"
"2014-03-19","514","517","509","510","8180000","2550"
"2014-03-20","518","518","508","511","12213000","2555"
"2014-03-24","514","520","511","517","9834000","2585"
"2014-03-25","508","522","507","515","8103000","2575"
"2014-03-26","516","517","504","507","10665000","2535"
"2014-03-27","492","520","491","518","13785000","2590"
"2014-03-28","517","528","516","528","12714000","2640"
"2014-03-31","527","527","518","524","10327000","2620"
"2014-04-01","524","524","510","517","8453000","2585"
"2014-04-02","517","522","515","515","8439000","2575"
"2014-04-03","517","521","515","516","7752000","2580"
"2014-04-04","515","519","512","514","6852000","2570"
"2014-04-07","510","515","510","511","5930000","2555"
"2014-04-08","506","509","500","507","8611000","2535"
"2014-04-09","500","506","494","504","10033000","2520"
"2014-04-10","509","510","498","499","7241000","2495"
"2014-04-11","491","504","487","499","8077000","2495"
"2014-04-14","497","508","497","503","6921000","2515"
"2014-04-15","503","504","495","495","7146000","2475"
"2014-04-16","499","507","498","507","7331000","2535"
"2014-04-17","506","515","505","512","7007000","2560"
"2014-04-18","518","518","512","517","4154000","2585"
"2014-04-21","517","523","516","517","5203000","2585"
"2014-04-22","518","524","518","520","5335000","2600"
"2014-04-23","523","527","518","526","9508000","2630"
"2014-04-24","526","526","517","521","5662000","2605"
"2014-04-25","518","526","515","525","5711000","2625"
"2014-04-28","522","529","514","514","11789000","2570"
"2014-04-30","518","536","516","535","13780000","2675"
"2014-05-01","535","540","530","536","7634000","2680"
"2014-05-02","531","538","530","537","8655000","2685"
"2014-05-07","532","544","530","541","12542000","2705"
"2014-05-08","541","553","541","544","13861000","2720"
"2014-05-09","541","548","540","543","10712000","2715"
"2014-05-12","547","555","546","550","11543000","2750"
"2014-05-13","558","561","555","558","10575000","2790"
"2014-05-14","554","559","551","556","10142000","2780"
"2014-05-15","552","567","551","567","10466000","2835"
"2014-05-16","563","567","550","550","12665000","2750"
"2014-05-19","547","561","546","556","9297000","2780"
"2014-05-20","555","559","553","557","13626000","2785"
"2014-05-21","555","563","555","560","8346000","2800"
"2014-05-22","563","570","561","564","8883000","2820"
"2014-05-23","562","568","559","566","12128000","2830"
"2014-05-26","574","580","570","580","9093000","2900"
"2014-05-27","576","579","567","570","14378000","2850"
"2014-05-28","571","574","569","571","10763000","2855"
"2014-05-29","572","578","572","574","7726000","2870"
"2014-05-30","572","585","570","576","13204000","2880"
"2014-06-02","583","593","582","584","12658000","2920"
"2014-06-03","589","589","576","578","11153000","2890"
"2014-06-04","577","577","572","573","12324000","2865"
"2014-06-05","579","582","570","572","14020000","2860"
"2014-06-06","572","575","562","566","16537000","2830"
"2014-06-09","571","572","563","563","11181000","2815"
"2014-06-10","567","573","564","568","8730000","2840"
"2014-06-11","571","580","570","576","10911000","2880"
"2014-06-12","570","578","569","577","8331000","2885"
"2014-06-13","577","582","575","579","12990000","2895"
"2014-06-16","573","579","572","576","6121000","2880"
"2014-06-17","579","583","576","578","5016000","2890"
"2014-06-18","582","583","580","581","4002000","2905"
"2014-06-19","578","587","576","585","10050000","2925"
"2014-06-20","586","589","584","585","8701000","2925"
"2014-06-23","585","586","575","579","6635000","2895"
