6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","2471.5","2479","2408.5","2468.5","7626800","2468.5"
"2015-01-06","2399","2466","2397","2439.5","7926500","2439.5"
"2015-01-07","2422.5","2590.5","2421","2552.5","15640000","2552.5"
"2015-01-08","2560.5","2613.5","2527.5","2565","11345200","2565"
"2015-01-09","2584","2629","2576","2599","9552200","2599"
"2015-01-13","2522","2524.5","2483","2520","10664800","2520"
"2015-01-14","2500","2557","2430","2433.5","9832100","2433.5"
"2015-01-15","2453.5","2511","2452.5","2500","7843800","2500"
"2015-01-16","2426","2437.5","2351.5","2384","15055500","2384"
"2015-01-19","2425","2448.5","2402","2443.5","7436000","2443.5"
"2015-01-20","2430","2466.5","2397.5","2462.5","8926300","2462.5"
"2015-01-21","2470","2601.5","2467","2597.5","17231800","2597.5"
"2015-01-22","2589","2656","2576","2610.5","12963100","2610.5"
"2015-01-23","2650","2743.5","2620","2737","19844800","2737"
"2015-01-26","2698","2770","2689","2754.5","13713000","2754.5"
"2015-01-27","2777","2828","2719","2749","16042600","2749"
"2015-01-28","2730","2860","2710","2824","15429200","2824"
"2015-01-29","2775","2836.5","2742.5","2775","10192400","2775"
"2015-01-30","2800","2829","2770.5","2774","8537500","2774"
"2015-02-02","2713","2748","2675.5","2698.5","8475500","2698.5"
"2015-02-03","2750","2764","2688.5","2697.5","12261100","2697.5"
"2015-02-04","2754","2791","2724","2769","11792100","2769"
"2015-02-05","3040","3269","2997","3101.5","71037200","3101.5"
"2015-02-06","3104","3198","3069.5","3138.5","26280100","3138.5"
"2015-02-09","3100","3124","3035.5","3064","13337900","3064"
"2015-02-10","3075","3096","3025.5","3073.5","9410900","3073.5"
"2015-02-12","3150","3249","3148","3231.5","20752600","3231.5"
"2015-02-13","3235","3255","3198","3220.5","13270300","3220.5"
"2015-02-16","3268","3282","3143","3144","12552300","3144"
"2015-02-17","3155","3157.5","3105","3125","9192500","3125"
"2015-02-18","3167","3237","3141","3174.5","13076700","3174.5"
"2015-02-19","3299","3300","3221","3227","16362200","3227"
"2015-02-20","3250","3253","3165.5","3201","10247400","3201"
"2015-02-23","3235","3249","3182","3205.5","8555100","3205.5"
"2015-02-24","3219.5","3277","3206.5","3276","9944900","3276"
"2015-02-25","3294","3309.5","3241.5","3280","11532100","3280"
"2015-02-26","3252","3350","3248","3346.5","11344300","3346.5"
"2015-02-27","3340","3414.5","3316.5","3414.5","24139200","3414.5"
"2015-03-02","3390","3400","3328","3345.5","11534200","3345.5"
"2015-03-03","3355","3383.5","3296","3345","9288900","3345"
"2015-03-04","3325","3346.5","3275","3325","8366500","3325"
"2015-03-05","3307.5","3345.5","3299","3344","7141800","3344"
"2015-03-06","3351","3356","3322","3337","7647300","3337"
"2015-03-09","3325","3326","3275","3283.5","7469200","3283.5"
"2015-03-10","3292.5","3306.5","3210","3245","8764500","3245"
"2015-03-11","3200","3296","3181","3256.5","8988800","3256.5"
"2015-03-12","3256.5","3284.5","3203.5","3262.5","9823900","3262.5"
"2015-03-13","3230","3256","3200","3223","14766300","3223"
"2015-03-16","3199","3199","3093.5","3102","14393400","3102"
"2015-03-17","3111.5","3240","3040.5","3235","17971200","3235"
"2015-03-18","3250","3413.5","3249.5","3410","19882000","3410"
"2015-03-19","3368","3409.5","3293","3381","14355600","3381"
"2015-03-20","3410","3413","3351.5","3359.5","8718200","3359.5"
"2015-03-23","3390.5","3450","3335","3345","11170700","3345"
"2015-03-24","3307","3348.5","3262","3306.5","7936800","3306.5"
"2015-03-25","3338","3339","3246","3273","7313900","3273"
"2015-03-26","3199","3207","3159","3165","10269200","3165"
"2015-03-27","3198.5","3250","3157","3196.5","7867100","3196.5"
"2015-03-30","3170","3242.5","3126","3210.5","7797600","3210.5"
"2015-03-31","3283.5","3289","3183.5","3190","7731700","3190"
"2015-04-01","3204","3266","3195","3235","9600800","3235"
"2015-04-02","3258","3379","3233.5","3336","12810000","3336"
"2015-04-03","3355.5","3462.5","3343.5","3450","14003400","3450"
"2015-04-06","3422.5","3512","3415","3482.5","9107400","3482.5"
"2015-04-07","3550","3565","3470","3490","8373000","3490"
"2015-04-08","3540","3590","3507","3525","13120400","3525"
"2015-04-09","3550","3623.5","3525","3619.5","13272100","3619.5"
"2015-04-10","3635","3700","3596","3677.5","17710300","3677.5"
"2015-04-13","3677","3735.5","3636","3670","12629500","3670"
"2015-04-14","3658","3750","3628","3750","10509500","3750"
"2015-04-15","3726","3787.5","3720","3779.5","10610900","3779.5"
"2015-04-16","3795","3827.5","3674","3692","14457200","3692"
"2015-04-17","3645","3648.5","3547.5","3555.5","13447300","3555.5"
"2015-04-20","3550","3651.5","3530","3616","11227600","3616"
"2015-04-21","3630","3688","3593","3680.5","9512100","3680.5"
"2015-04-22","3676.5","3744.5","3653","3675.5","9417500","3675.5"
"2015-04-23","3800","3800","3581","3616","20164800","3616"
"2015-04-24","3677.5","3779","3634","3739","16490200","3739"
"2015-04-27","3715","3744.5","3637.5","3729","10848600","3729"
"2015-04-28","3729","3731.5","3668.5","3691","7541300","3691"
"2015-04-30","3658.5","3714.5","3621","3644.5","9640100","3644.5"
"2015-05-01","3608","3636.5","3550.5","3628.5","8914900","3628.5"
"2015-05-07","3609.5","3615","3490","3609.5","12056500","3609.5"
"2015-05-08","3609","3656.5","3585","3623","7053600","3623"
"2015-05-11","3666","3746","3655","3727","8919000","3727"
"2015-05-12","3777","3843","3730","3833","15569900","3833"
"2015-05-13","3785","3914.5","3756","3881","15053800","3881"
"2015-05-14","3837.5","3888","3809","3816","10258200","3816"
"2015-05-15","3850.5","3896","3845","3892","8098200","3892"
"2015-05-18","3914","3934","3875.5","3900","7985300","3900"
"2015-05-19","3912","3970","3883","3957","9380100","3957"
"2015-05-20","3957","3970","3896.5","3906.5","9021500","3906.5"
"2015-05-21","3906","3932","3850","3853.5","9055900","3853.5"
"2015-05-22","3810.5","3847.5","3762","3842","9016400","3842"
"2015-05-25","3869.5","3947.5","3855","3929.5","8610100","3929.5"
"2015-05-26","3929.5","3936","3871.5","3908","6215600","3908"
"2015-05-27","3869","3892.5","3822","3828.5","13228800","3828.5"
"2015-05-28","3860","3897.5","3825","3837","9275700","3837"
"2015-05-29","3856","3869","3837","3862","8027700","3862"
"2015-06-01","3820","3834","3778","3822.5","8491100","3822.5"
"2015-06-02","3845","3858","3795","3806.5","5289000","3806.5"
"2015-06-03","3792.5","3809","3744.5","3754.5","8144600","3754.5"
"2015-06-04","3768","3811.5","3748","3773","7056100","3773"
"2015-06-05","3733","3751","3703","3733.5","6596900","3733.5"
"2015-06-08","3768","3772","3672","3694","6578500","3694"
"2015-06-09","3652.5","3666.5","3601","3607","7823400","3607"
"2015-06-10","3610","3718","3604","3653","8365400","3653"
"2015-06-11","3710","3789","3703.5","3759.5","7162000","3759.5"
