6758 東証1部 ソニー(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","5250","5280","5214","5279","8738400","5279"
"2018-01-05","5323","5478","5322","5464","13486500","5464"
"2018-01-09","5525","5648","5492","5612","13500100","5612"
"2018-01-10","5560","5633","5528","5591","7283800","5591"
"2018-01-11","5521","5613","5521","5584","5995400","5584"
"2018-01-12","5584","5598","5496","5525","7400700","5525"
"2018-01-15","5533","5565","5452","5463","5922600","5463"
"2018-01-16","5468","5505","5455","5474","4484800","5474"
"2018-01-17","5415","5465","5380","5459","6628400","5459"
"2018-01-18","5539","5552","5425","5449","8370500","5449"
"2018-01-19","5479","5535","5452","5512","5871200","5512"
"2018-01-22","5525","5577","5491","5572","6646600","5572"
"2018-01-23","5645","5738","5613","5732","12477600","5732"
"2018-01-24","5600","5600","5436","5442","19510700","5442"
"2018-01-25","5285","5384","5202","5249","18803900","5249"
"2018-01-26","5350","5397","5281","5285","10678200","5285"
"2018-01-29","5349","5354","5258","5285","7160900","5285"
"2018-01-30","5211","5258","5177","5183","10082800","5183"
"2018-01-31","5151","5268","5148","5209","7703700","5209"
"2018-02-01","5269","5386","5218","5385","9016200","5385"
"2018-02-02","5395","5505","5370","5485","14337200","5485"
"2018-02-05","5600","5671","5503","5568","25977400","5568"
"2018-02-06","5300","5387","5225","5336","23396900","5336"
"2018-02-07","5607","5665","5412","5417","18136600","5417"
"2018-02-08","5450","5504","5250","5320","13215900","5320"
"2018-02-09","5094","5174","5061","5174","13055200","5174"
"2018-02-13","5200","5236","5085","5099","10855500","5099"
"2018-02-14","5094","5158","5007","5078","9916000","5078"
"2018-02-15","5195","5205","5137","5173","7283700","5173"
"2018-02-16","5210","5340","5199","5264","8102200","5264"
"2018-02-19","5257","5313","5235","5305","5701600","5305"
"2018-02-20","5306","5336","5233","5296","5997700","5296"
"2018-02-21","5330","5379","5298","5378","8065300","5378"
"2018-02-22","5360","5429","5288","5349","8091100","5349"
"2018-02-23","5330","5360","5290","5354","5643500","5354"
"2018-02-26","5376","5428","5356","5382","6923400","5382"
"2018-02-27","5450","5468","5410","5439","7244500","5439"
"2018-02-28","5451","5494","5408","5442","11158300","5442"
"2018-03-01","5388","5418","5250","5302","8135800","5302"
"2018-03-02","5173","5275","5170","5237","7649400","5237"
"2018-03-05","5147","5239","5138","5228","6669900","5228"
"2018-03-06","5340","5384","5272","5282","7018400","5282"
"2018-03-07","5251","5400","5243","5316","8892700","5316"
"2018-03-08","5377","5435","5356","5377","6953400","5377"
"2018-03-09","5470","5500","5355","5393","10781700","5393"
"2018-03-12","5430","5465","5273","5299","9164900","5299"
"2018-03-13","5321","5364","5307","5356","7574000","5356"
"2018-03-14","5356","5418","5329","5400","7038900","5400"
"2018-03-15","5391","5462","5387","5446","6800900","5446"
"2018-03-16","5446","5450","5345","5371","7347000","5371"
"2018-03-19","5337","5337","5121","5144","11658900","5144"
"2018-03-20","5097","5144","5019","5138","8469200","5138"
"2018-03-22","5200","5275","5171","5239","9150000","5239"
"2018-03-23","5035","5138","5035","5096","10156100","5096"
"2018-03-26","5022","5079","4959","5079","7985600","5079"
"2018-03-27","5156","5233","5152","5232","7528700","5232"
"2018-03-28","5106","5176","5080","5174","7906400","5174"
"2018-03-29","5145","5150","5051","5110","6988400","5110"
"2018-03-30","5129","5164","5104","5146","5425900","5146"
"2018-04-02","5152","5238","5151","5173","4353700","5173"
"2018-04-03","5100","5174","5089","5150","5208000","5150"
"2018-04-04","5216","5246","5135","5137","7187400","5137"
"2018-04-05","5229","5248","5166","5213","5751800","5213"
"2018-04-06","5220","5261","5204","5205","5004600","5205"
"2018-04-09","5203","5243","5183","5220","4107400","5220"
"2018-04-10","5211","5369","5209","5328","7172500","5328"
"2018-04-11","5330","5357","5261","5272","4792800","5272"
"2018-04-12","5281","5282","5191","5200","4163000","5200"
"2018-04-13","5239","5274","5229","5245","4484800","5245"
"2018-04-16","5279","5324","5270","5288","3224300","5288"
"2018-04-17","5288","5359","5288","5312","4169600","5312"
"2018-04-18","5335","5403","5331","5395","6135800","5395"
"2018-04-19","5420","5425","5365","5371","5107200","5371"
"2018-04-20","5347","5385","5333","5385","5184800","5385"
"2018-04-23","5383","5387","5339","5350","3788000","5350"
"2018-04-24","5397","5438","5354","5438","6258500","5438"
"2018-04-25","5407","5430","5360","5410","6663800","5410"
"2018-04-26","5450","5468","5405","5443","5267700","5443"
"2018-04-27","5453","5455","5368","5400","7207300","5400"
"2018-05-01","5130","5148","5038","5073","16563600","5073"
"2018-05-02","5128","5130","5064","5083","9066700","5083"
"2018-05-07","5192","5225","5164","5198","7586800","5198"
"2018-05-08","5101","5202","5094","5182","5287200","5182"
"2018-05-09","5131","5176","5125","5138","5223100","5138"
"2018-05-10","5181","5188","5101","5109","4111800","5109"
"2018-05-11","5126","5180","5096","5177","5564300","5177"
"2018-05-14","5250","5295","5237","5289","5443200","5289"
"2018-05-15","5252","5283","5246","5271","3261500","5271"
"2018-05-16","5271","5305","5270","5277","3612300","5277"
"2018-05-17","5320","5400","5310","5390","6595600","5390"
"2018-05-18","5404","5460","5384","5416","5782700","5416"
"2018-05-21","5418","5457","5381","5388","5252100","5388"
"2018-05-22","5391","5395","5188","5282","9360500","5282"
