9531 東証1部 東京ガス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2758","2807","2754","2796","1939300","2796"
"2019-01-07","2853","2875","2817.5","2839.5","1302400","2839.5"
"2019-01-08","2839.5","2872","2821.5","2821.5","1239600","2821.5"
"2019-01-09","2840","2885.5","2831","2867","1319200","2867"
"2019-01-10","2850.5","2895","2842.5","2891","1050900","2891"
"2019-01-11","2898","2935.5","2888.5","2923","918500","2923"
"2019-01-15","2894.5","2924","2870","2870.5","1378200","2870.5"
"2019-01-16","2882.5","2924.5","2882","2907","1058200","2907"
"2019-01-17","2911.5","2915.5","2886","2911","838300","2911"
"2019-01-18","2917","2967.5","2912.5","2940","930000","2940"
"2019-01-21","2969.5","2978","2936","2936.5","828900","2936.5"
"2019-01-22","2965","2989","2942","2958","927800","2958"
"2019-01-23","2954","2966.5","2918","2918.5","924500","2918.5"
"2019-01-24","2890.5","2901.5","2869","2877.5","1563100","2877.5"
"2019-01-25","2879","2905.5","2853.5","2865.5","1527100","2865.5"
"2019-01-28","2860","2862.5","2806","2818.5","1205600","2818.5"
"2019-01-29","2838.5","2903.5","2838.5","2886.5","1826000","2886.5"
"2019-01-30","2872","2891.5","2859.5","2859.5","1411500","2859.5"
"2019-01-31","2900","2900","2798","2858.5","1875600","2858.5"
"2019-02-01","2880","2917.5","2859","2892.5","1587400","2892.5"
"2019-02-04","2901","3008","2901","2930","1679500","2930"
"2019-02-05","2945","2980.5","2942.5","2960.5","902700","2960.5"
"2019-02-06","2941.5","2961","2912","2936","1166600","2936"
"2019-02-07","2911","2916","2886.5","2907.5","958600","2907.5"
"2019-02-08","2891.5","2917.5","2884","2908.5","898300","2908.5"
"2019-02-12","2931.5","2955.5","2901.5","2945","1151100","2945"
"2019-02-13","2959","2971.5","2929","2938.5","971400","2938.5"
"2019-02-14","2930.5","2980","2926","2977.5","1226400","2977.5"
"2019-02-15","2957","2995.5","2940","2995","1120100","2995"
"2019-02-18","3008","3030","2971.5","2985","1194200","2985"
"2019-02-19","3004","3057","3004","3052","1379000","3052"
"2019-02-20","3039","3060","3017","3060","1117300","3060"
"2019-02-21","3053","3078","3031","3051","1228800","3051"
"2019-02-22","3062","3081","3053","3057","651400","3057"
"2019-02-25","3062","3070","3038","3066","888500","3066"
"2019-02-26","3069","3089","3060","3076","763400","3076"
"2019-02-27","3090","3141","3088","3109","1351400","3109"
"2019-02-28","3088","3094","3063","3065","1751400","3065"
"2019-03-01","3060","3077","3038","3051","1114000","3051"
"2019-03-04","3068","3069","3013","3020","1208700","3020"
"2019-03-05","3015","3033","3003","3022","755000","3022"
"2019-03-06","3006","3040","2995.5","3033","998100","3033"
"2019-03-07","3037","3057","3012","3031","1286800","3031"
"2019-03-08","3010","3041","3010","3019","1497800","3019"
"2019-03-11","3032","3087","3029","3063","841300","3063"
"2019-03-12","3064","3107","3062","3092","1026700","3092"
"2019-03-13","3092","3100","3068","3071","997500","3071"
"2019-03-14","3110","3126","3070","3077","997600","3077"
"2019-03-15","3074","3095","3064","3085","1389500","3085"
"2019-03-18","3100","3128","3088","3119","881300","3119"
"2019-03-19","3113","3122","3073","3080","722300","3080"
"2019-03-20","3090","3104","3056","3074","819400","3074"
"2019-03-22","3096","3107","3062","3091","1000600","3091"
"2019-03-25","3072","3082","3050","3072","1014200","3072"
"2019-03-26","3107","3138","3088","3097","1613600","3097"
"2019-03-27","3051","3066","3004","3047","1508400","3047"
"2019-03-28","3013","3029","2984","3010","1130300","3010"
"2019-03-29","3023","3039","2983","2993.5","951000","2993.5"
"2019-04-01","3027","3041","3005","3014","1134500","3014"
"2019-04-02","3045","3045","2969","2971.5","1230100","2971.5"
"2019-04-03","2978","2994","2958","2992.5","1250300","2992.5"
"2019-04-04","2990","2991.5","2961","2973","785000","2973"
"2019-04-05","2973","3014","2969","2999.5","1343700","2999.5"
"2019-04-08","2995","3038","2988.5","3019","1093200","3019"
"2019-04-09","2983","2988","2941","2967","1425700","2967"
"2019-04-10","2941","2959.5","2922","2945.5","1280300","2945.5"
"2019-04-11","2934.5","2952","2920","2948","1010800","2948"
"2019-04-12","2934","2939.5","2889","2899.5","1978300","2899.5"
"2019-04-15","2912","2919","2850.5","2872.5","2185900","2872.5"
"2019-04-16","2877","2897","2848.5","2852","1128100","2852"
"2019-04-17","2841.5","2847.5","2794","2795.5","2013000","2795.5"
"2019-04-18","2803","2803","2771","2777.5","955900","2777.5"
"2019-04-19","2740","2745.5","2710.5","2730.5","1309400","2730.5"
"2019-04-22","2719.5","2768","2701","2755","1174900","2755"
"2019-04-23","2751.5","2790","2747.5","2777","1201400","2777"
"2019-04-24","2783.5","2783.5","2714.5","2725","1802100","2725"
"2019-04-25","2775","2788.5","2747","2777.5","1639500","2777.5"
"2019-04-26","2752","2843","2752","2827","2067100","2827"
"2019-05-07","2830","2852","2726","2772.5","2340000","2772.5"
"2019-05-08","2751.5","2771.5","2685.5","2706","1799400","2706"
"2019-05-09","2670","2687.5","2646","2667.5","1437300","2667.5"
"2019-05-10","2651","2692","2641","2685","1714900","2685"
"2019-05-13","2690.5","2726","2671","2706","1548900","2706"
"2019-05-14","2656","2712","2655","2708","1535200","2708"
"2019-05-15","2698.5","2717.5","2668.5","2682","2421900","2682"
"2019-05-16","2684.5","2738.5","2683","2738.5","1210700","2738.5"
"2019-05-17","2740","2752","2721","2741.5","1301100","2741.5"
